dist,GT,highRes,ShighRes,Fmean,Fmedian,FSCmean,FSCmedian,FSCpam,FSCkml,RWGPS,SFmean,SFmedian,SFSCmean,SFSCmedian,SFSCpam,SFSCkml
958,24.81781934,25.0035,24.99904356,21.41259085,23.72475899,24.24707531,26.66694551,26.96001352,24.29824047,17.5,21.23950475,23.54784545,24.2432427,26.7073471,26.9528886,24.29954131
959,24.78748493,24.975,24.97123635,21.38144741,23.6556281,24.2308042,26.6421132,26.93722598,24.27001271,17.5,21.23058091,23.53411731,24.22675034,26.68578304,26.93004105,24.28266492
960,24.75689341,24.9485,24.94349777,21.3673991,23.62386903,24.21476796,26.60304979,26.91443851,24.25483374,17.6,21.22178564,23.52060697,24.21050441,26.66439567,26.90720743,24.26601768
961,24.72630189,24.922,24.91582879,21.37296761,23.61765468,24.19896868,26.5755977,26.8916511,24.24518725,17.7,21.21311974,23.50731582,24.19450753,26.64318689,26.88438802,24.24960224
962,24.69571037,24.8955,24.8882304,21.32347089,23.58235798,24.18340846,26.57147598,26.86886376,24.2218089,17.7,21.20458396,23.49424522,24.17876232,26.62215859,26.86158309,24.23342126
963,24.66511885,24.869,24.86070359,21.30752905,23.57170268,24.1680894,26.58551166,26.84607648,24.20549309,17.8,21.19617907,23.48139654,24.1632714,26.60131264,26.83879291,24.21747738
964,24.63452733,24.8425,24.83324933,21.293752,23.59187342,24.1530136,26.60393242,26.82328928,24.19758072,17.9,21.18790585,23.46877117,24.14803738,26.58065093,26.81601775,24.20177326
965,24.60393581,24.816,24.80586862,21.26851163,23.62756998,24.13818317,26.58205013,26.80050215,24.17452175,17.9,21.17976507,23.45637048,24.13306288,26.56017536,26.79325788,24.18631157
966,24.57334429,24.7895,24.77856244,21.2543659,23.64216964,24.1236002,26.54682567,26.77771508,24.1596216,18,21.17175749,23.44419583,24.11835052,26.53988779,26.77051356,24.17109494
967,24.54275277,24.763,24.75133177,21.23950645,23.63371003,24.10926678,26.51144086,26.75492809,24.14205514,18.2,21.16388389,23.43224861,24.10390292,26.51979013,26.74778507,24.15612603
968,24.51216125,24.7365,24.7241776,21.1920966,23.62884657,24.09518504,26.47600266,26.73214118,24.13067181,18.4,21.15614503,23.42053019,24.08972268,26.49988425,26.72507269,24.14140749
969,24.48156973,24.71,24.69710091,21.19948512,23.60599297,24.08135705,26.45072116,26.70935434,24.11299703,18.5,21.14854168,23.40904194,24.07581244,26.48017204,26.70237667,24.12694199
970,24.45708514,24.678,24.67010268,21.17097203,23.57730163,24.06778493,26.43950673,26.68656757,24.10520084,18.7,21.14107462,23.39778523,24.0621748,26.46065538,26.6796973,24.11273217
971,24.43260055,24.646,24.64318391,21.15720195,23.54861205,24.05447077,26.42739951,26.66378088,24.09348207,18.9,21.13374462,23.38676144,24.04881239,26.44133616,26.65703483,24.09878068
972,24.40811596,24.614,24.61634557,21.17244551,23.58731854,24.04141667,26.39969849,26.64099427,24.07658984,19.1,21.12655243,23.37597194,24.03572781,26.42221627,26.63438955,24.08509019
973,24.38363137,24.582,24.58958866,21.16570928,23.55770432,24.02862474,26.37206144,26.61820774,24.05860199,19.3,21.11949885,23.36541811,24.0229237,26.40329759,26.61176171,24.07166333
974,24.35914678,24.55,24.56291415,21.14926376,23.47085949,24.01609707,26.34448849,26.59542128,24.04204227,19.5,21.11258462,23.35510132,24.01040266,26.38458201,26.5891516,24.05850278
975,24.33466219,24.518,24.53632303,21.13358903,23.45171843,24.00383577,26.31697979,26.57263491,24.02985215,19.7,21.10581053,23.34502294,23.99816731,26.3660714,26.56655948,24.04561117
976,24.3101776,24.486,24.50981629,21.12915249,23.43257737,23.99184293,26.31104484,26.54984862,24.02088764,19.8,21.09917734,23.33518436,23.98622027,26.34776766,26.54398562,24.03299117
977,24.28569301,24.454,24.4833949,21.11493989,23.41343631,23.98012065,26.37495209,26.52706241,24.0100999,20,21.09268583,23.32558693,23.97456416,26.32967268,26.52143029,24.02064542
978,24.26120842,24.422,24.45705986,21.10320385,23.38886289,23.96867104,26.35682332,26.50427629,23.99374744,20.2,21.08633676,23.31623203,23.96320159,26.31178833,26.49889376,24.00857658
