x,y,zhighRes
490003.9693,5458062.478,31.37
490004.8683,5458062.916,31.394
490005.7673,5458063.354,31.418
490006.6663,5458063.792,31.442
490007.5653,5458064.23,31.466
490008.4644,5458064.668,31.49
490009.3634,5458065.106,31.518
490010.2624,5458065.544,31.546
490011.1614,5458065.982,31.574
490012.0604,5458066.42,31.602
490012.9594,5458066.858,31.63
490013.8584,5458067.296,31.658
490014.7574,5458067.733,31.686
490015.6564,5458068.171,31.714
490016.5554,5458068.609,31.742
490017.4544,5458069.047,31.77
490018.3534,5458069.485,31.782
490019.2524,5458069.923,31.794
490020.1514,5458070.361,31.806
490021.0505,5458070.799,31.818
490021.9495,5458071.237,31.83
490022.8485,5458071.675,31.842
490023.7475,5458072.113,31.854
490024.6465,5458072.551,31.866
490025.5455,5458072.989,31.878
490026.4445,5458073.427,31.89
490027.3435,5458073.865,31.898
490028.2425,5458074.302,31.906
490029.1415,5458074.74,31.914
490030.0405,5458075.178,31.922
490030.9395,5458075.616,31.93
490031.8385,5458076.054,31.938
490032.7375,5458076.492,31.946
490033.6366,5458076.93,31.954
490034.5356,5458077.368,31.962
490035.4346,5458077.806,31.97
490036.3336,5458078.244,31.983
490037.2326,5458078.682,31.996
490038.1316,5458079.12,32.009
490039.0306,5458079.558,32.022
490039.9296,5458079.996,32.035
490040.8286,5458080.434,32.048
490041.7276,5458080.871,32.061
490042.6266,5458081.309,32.074
490043.5256,5458081.747,32.087
490044.4246,5458082.185,32.1
490045.3237,5458082.623,32.12
490046.2227,5458083.061,32.14
490047.1217,5458083.499,32.16
490048.0207,5458083.937,32.18
490048.9197,5458084.375,32.2
490049.8187,5458084.813,32.22
490050.7177,5458085.251,32.24
490051.6167,5458085.689,32.26
490052.5157,5458086.127,32.28
490053.4147,5458086.565,32.3
490054.3124,5458087.005,32.297
490055.2101,5458087.446,32.294
490056.1077,5458087.887,32.291
490057.0054,5458088.327,32.288
490057.903,5458088.768,32.285
490058.8007,5458089.209,32.282
490059.6983,5458089.649,32.279
490060.596,5458090.09,32.276
490061.4936,5458090.531,32.273
490062.3913,5458090.972,32.27
490063.2877,5458091.415,32.245
490064.184,5458091.858,32.22
490065.0804,5458092.302,32.195
490065.9767,5458092.745,32.17
490066.873,5458093.188,32.145
490067.7694,5458093.632,32.12
490068.6657,5458094.075,32.095
490069.562,5458094.518,32.07
490070.4584,5458094.962,32.045
490071.3547,5458095.405,32.02
490072.251,5458095.849,32.007
490073.1474,5458096.292,31.994
490074.0437,5458096.735,31.981
490074.94,5458097.179,31.968
490075.8364,5458097.622,31.955
490076.7327,5458098.066,31.942
490077.629,5458098.509,31.929
490078.5253,5458098.952,31.916
490079.4217,5458099.396,31.903
490080.318,5458099.839,31.89
